City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,kharkhorin,47.1975,102.8238,249.08,93,56,2.25,MN,1709073248
140,lamarque,-39.423,-65.7021,302.94,22,3,1.88,AR,1709073249
141,kodiak,57.79,-152.4072,271.88,69,100,5.14,US,1709073054
142,badger,64.8,-147.5333,258.22,60,40,0.45,US,1709073251
143,tura,25.5198,90.2201,288.49,41,99,0.98,IN,1709073252
144,santa cruz,-17.8,-63.1667,304.18,58,40,6.69,BO,1709073253
145,nova sintra,14.8667,-24.7167,293.53,77,66,3.09,CV,1709073254
146,kone,-21.0595,164.8658,304.48,58,35,3.06,NC,1709073255
147,longyearbyen,78.2186,15.6401,271.06,80,75,7.72,SJ,1709073256
148,west island,-12.1568,96.8225,301.78,72,93,7.77,CC,1709073257
149,sitka,57.0531,-135.33,272.09,86,100,8.75,US,1709073020
150,santiago de cao,-7.9589,-79.2392,297.22,78,40,5.66,PE,1709073259
151,la'ie,21.6477,-157.9253,301.13,70,5,3.13,US,1709073260
152,plettenberg bay,-34.0527,23.3716,289.12,77,7,3.92,ZA,1709073261
153,conduaga,8.862,117.4893,298.33,72,74,2.2,PH,1709073262
154,boyolangu,-8.1181,111.8935,297.83,88,88,1.67,ID,1709073262
155,sao gabriel da cachoeira,-0.1303,-67.0892,298.93,77,91,1.25,BR,1709073263
156,al kharj,24.155,47.3346,290.47,36,1,6.24,SA,1709073265
157,kiunga,-6.1219,141.2906,298.85,78,100,0.81,PG,1709073266
158,acapulco de juarez,16.8634,-99.8901,303.05,62,0,6.17,MX,1709073267
159,tandalti,13.0167,31.8667,297.82,8,100,6.78,SD,1709073268
160,nyurba,63.2842,118.3319,247.06,97,48,2.95,RU,1709073205
161,carolina beach,34.0352,-77.8936,290.97,90,100,0.45,US,1709073269
162,sinop,41.7711,34.8709,280.95,62,0,0.96,TR,1709073270
163,ashland,40.8167,-82.2665,291.13,88,100,6.77,US,1709073025
164,cockburn town,21.4612,-71.1419,297.16,77,32,9.84,TC,1709073272
165,vadso,70.0744,29.7487,272.24,74,75,7.2,NO,1709073273
166,funafuti,-8.5243,179.1942,306.15,66,75,2.06,TV,1709073274
167,atafu village,-8.5421,-172.5159,302.24,77,18,7.31,TK,1709073275
168,malabar,-33.9667,151.25,299.1,74,75,7.2,AU,1709073276
169,cabo san lucas,22.8909,-109.9124,304.05,50,40,4.63,MX,1709073241
170,lihue,21.9789,-159.3672,299.73,67,75,8.23,US,1709073277
171,brandon,27.9378,-82.2859,299.44,58,0,5.14,US,1709073012
172,college,64.8569,-147.8028,258.26,51,40,0.0,US,1709073279
173,kem',64.9555,34.5793,267.02,93,85,2.58,RU,1709073280
174,kolonia,50.9333,6.95,277.92,87,40,3.09,DE,1709073203
175,axim,4.8699,-2.2405,299.98,91,20,2.11,GH,1709073281
176,weno,7.4515,151.8468,301.12,89,100,4.63,FM,1709073282
177,glendive,47.1053,-104.7125,263.57,61,40,3.09,US,1709073283
178,richfield,44.8833,-93.283,272.36,75,100,11.32,US,1709073270
179,east ballina,-28.8667,153.5833,299.15,65,67,1.61,AU,1709073285
180,iskateley,67.6803,53.1512,268.16,94,73,5.36,RU,1709073286
181,altay,47.8667,88.1167,253.79,71,22,3.14,CN,1709073287
182,zlynka,52.4267,31.7378,273.5,75,99,4.02,RU,1709073287
183,puerto iguazu,-25.5991,-54.5736,297.57,100,20,2.06,AR,1709073288
184,siena,43.2167,11.4,283.15,99,100,3.99,IT,1709073289
185,khandyga,62.6667,135.6,238.05,100,100,1.24,RU,1709073290
186,vanino,49.0869,140.2543,255.89,88,12,1.44,RU,1709073291
187,diu,20.7141,70.9822,296.54,39,1,3.01,IN,1709073291
188,aasiaat,68.7098,-52.8699,252.08,100,96,2.93,GL,1709073292
189,dudinka,69.4058,86.1778,261.86,92,99,9.39,RU,1709073293
190,wailua homesteads,22.0669,-159.378,299.39,67,75,8.23,US,1709073294
191,hamilton,39.1834,-84.5333,291.73,78,100,8.23,US,1709073160
192,fernandina beach,30.6697,-81.4626,298.14,64,0,8.23,US,1709073297
193,bubaque,11.2833,-15.8333,298.66,68,35,8.73,GW,1709073298
194,pisco,-13.7,-76.2167,299.18,73,0,12.35,PE,1709073281
195,buncrana,55.1333,-7.45,281.02,80,99,3.69,IE,1709073300
196,punta arenas,-53.15,-70.9167,288.21,72,75,8.75,CL,1709073280
197,malango,-2.9627,119.9001,293.48,93,76,1.1,ID,1709073302
198,tommot,58.9564,126.2925,235.18,100,91,0.17,RU,1709073303
199,claveria,18.6074,121.0832,295.44,86,36,5.56,PH,1709073304
200,ozarow mazowiecki,52.2104,20.7972,284.82,81,0,1.54,PL,1709073305
201,arraial do cabo,-22.9661,-42.0278,298.13,88,20,4.63,BR,1709073309
202,nuuk,64.1835,-51.7216,266.49,73,75,5.66,GL,1709073314
203,wenling,28.3669,121.36,280.18,92,100,2.15,CN,1709073316
204,bonthe,7.5264,-12.505,299.38,91,30,2.85,SL,1709073317
205,island harbour,50.724,-1.2758,282.58,91,96,1.79,GB,1709073318
206,yarmouth,41.7057,-70.2286,283.78,86,0,4.63,US,1709073318
207,karbala,32.616,44.0249,285.08,51,79,5.62,IQ,1709073327
208,noyabrsk,63.1994,75.4507,268.84,96,100,4.47,RU,1709073329
209,puerto carreno,6.189,-67.4859,308.14,41,20,3.09,CO,1709073330
210,kingston,17.997,-76.7936,302.68,71,20,8.75,JM,1709073170
211,puerto lempira,15.2667,-83.7667,300.54,71,54,5.19,HN,1709073334
212,crane,31.3974,-102.3501,299.28,20,100,10.09,US,1709073335
213,port elizabeth,-33.918,25.5701,292.31,77,75,4.12,ZA,1709073037
214,krasnoslobodsk,48.7072,44.5714,263.05,79,0,6.0,RU,1709073337
215,upington,-28.4478,21.2561,298.36,18,3,2.57,ZA,1709073338
216,launceston,-41.45,147.1667,293.79,72,75,1.54,AU,1709073339
217,khorinsk,52.1657,109.7726,247.06,96,99,1.39,RU,1709073339
218,vryheid,-27.7695,30.7917,286.31,91,100,0.82,ZA,1709073340
219,sundargarh,22.1167,84.0333,292.53,89,42,1.4,IN,1709073341
220,whiteville,34.3388,-78.7031,292.07,73,40,4.63,US,1709073342
221,guangyuan,32.442,105.823,276.18,92,63,1.7,CN,1709073343
222,avarua,-21.2078,-159.775,301.18,78,40,1.54,CK,1709073205
223,kyren,51.6828,102.1408,254.23,94,74,1.34,RU,1709073345
224,zaozersk,69.4005,32.4476,267.54,88,84,6.66,RU,1709073345
225,sremcica,44.6765,20.3923,285.37,63,0,6.69,RS,1709073346
226,tezu,27.9167,96.1667,290.04,54,96,1.54,IN,1709073347
227,zapadnaya dvina,56.259,32.0745,273.57,87,95,3.72,RU,1709073348
228,berdigestyakh,62.0989,126.6992,238.07,100,100,1.03,RU,1709073349
229,pangody,65.85,74.4859,267.06,99,100,1.6,RU,1709073350
230,vernon,50.2581,-119.2691,271.61,36,66,1.03,CA,1709073351
231,dzuunmod,48.2199,97.3744,244.28,96,74,2.47,MN,1709073351
232,mount gambier,-37.8333,140.7667,303.32,21,100,6.63,AU,1709073352
233,newnham,-41.3833,147.1333,293.52,72,75,1.54,AU,1709073353
234,susuman,62.7833,148.1667,233.14,99,50,0.45,RU,1709073354
235,pacific grove,36.6177,-121.9166,292.34,62,0,5.66,US,1709073355
236,zakamensk,50.3741,103.2863,247.47,99,92,1.37,RU,1709073356
